"fw_pk","forbidden"
"0","and"
"1","to"
"2","the"
"3","of"
"4","in"
"5","with"
"6","a"
"7","for"
"8","or"
"9","on"
"10","will"
"11","be"
"12","our"
"13","we"
"14","an"
"15","you"
"16","that"
"17","other"
"18","of the"
"19","are"
"20","this"
"21","thi"
"22","by"
"23","s"
"24","all"
"25","from"
"26","job"
"27","prefer"
"28","it"
"29","at"
"30","in a"
"31","with the"
"32","to the"
"33","not"
"34","is a"
"35","across"
"36","will be"
"37","within"
"38","as a"
"39","who"
"40","one"
"41","for the"
"42","well"
"43","into"
"44","etc"
"45","and other"
"0","is"
"1","as"
"2","in the"
"3","their"
