Service, Operation, UsageType, Resource, StartTime, EndTime, UsageValue
AmazonRDS,Not Applicable,USE2-C3DataTransfer-In-Bytes,,09/01/19 00:00:00,09/01/19 01:00:00,3604939
AmazonRDS,Not Applicable,USE2-DataTransfer-In-Bytes,,09/01/19 00:00:00,09/01/19 01:00:00,10372
AmazonRDS,Not Applicable,USE2-DataTransfer-Out-Bytes,,09/01/19 00:00:00,09/01/19 01:00:00,952
AmazonRDS,CreateDBInstance:0014,USE2-InstanceUsage:db.t2.micro,,09/01/19 00:00:00,09/01/19 01:00:00,1
AmazonRDS,Not Applicable,USE2-EU-AWS-In-Bytes,,09/01/19 00:00:00,09/01/19 01:00:00,40
AmazonRDS,Not Applicable,USE2-C3DataTransfer-Out-Bytes,,09/01/19 00:00:00,09/01/19 01:00:00,16669254
AmazonRDS,CreateDBInstance,USE2-RDS:GP2-Storage,,09/01/19 00:00:00,09/01/19 01:00:00,21474836480
AmazonRDS,Not Applicable,USE2-C3DataTransfer-In-Bytes,,09/01/19 01:00:00,09/01/19 02:00:00,3569933
AmazonRDS,Not Applicable,USE2-DataTransfer-In-Bytes,,09/01/19 01:00:00,09/01/19 02:00:00,13923
AmazonRDS,CreateDBInstance:0014,USE2-InstanceUsage:db.t2.micro,,09/01/19 01:00:00,09/01/19 02:00:00,1
AmazonRDS,Not Applicable,USE2-C3DataTransfer-Out-Bytes,,09/01/19 01:00:00,09/01/19 02:00:00,16697664
AmazonRDS,Not Applicable,USE2-DataTransfer-Out-Bytes,,09/01/19 01:00:00,09/01/19 02:00:00,1216
AmazonRDS,CreateDBInstance,USE2-RDS:GP2-Storage,,09/01/19 01:00:00,09/01/19 02:00:00,21474836480
AmazonRDS,Not Applicable,USE2-EU-AWS-In-Bytes,,09/01/19 02:00:00,09/01/19 03:00:00,45
AmazonRDS,CreateDBInstance:0014,USE2-InstanceUsage:db.t2.micro,,09/01/19 02:00:00,09/01/19 03:00:00,1
AmazonRDS,Not Applicable,USE2-DataTransfer-Out-Bytes,,09/01/19 02:00:00,09/01/19 03:00:00,1444
AmazonRDS,Not Applicable,USE2-C3DataTransfer-In-Bytes,,09/01/19 02:00:00,09/01/19 03:00:00,3573687
AmazonRDS,CreateDBInstance,USE2-RDS:GP2-Storage,,09/01/19 02:00:00,09/01/19 03:00:00,21474836480
AmazonRDS,Not Applicable,USE2-C3DataTransfer-Out-Bytes,,09/01/19 02:00:00,09/01/19 03:00:00,16169197
AmazonRDS,Not Applicable,USE2-DataTransfer-In-Bytes,,09/01/19 02:00:00,09/01/19 03:00:00,12845
AmazonRDS,Not Applicable,USE2-DataTransfer-Out-Bytes,,09/01/19 03:00:00,09/01/19 04:00:00,3648
AmazonRDS,Not Applicable,USE2-DataTransfer-In-Bytes,,09/01/19 03:00:00,09/01/19 04:00:00,13454
AmazonRDS,CreateDBInstance,USE2-RDS:GP2-Storage,,09/01/19 03:00:00,09/01/19 04:00:00,21474836480
AmazonRDS,Not Applicable,USE2-EU-AWS-In-Bytes,,09/01/19 03:00:00,09/01/19 04:00:00,40
AmazonRDS,Not Applicable,USE2-C3DataTransfer-Out-Bytes,,09/01/19 03:00:00,09/01/19 04:00:00,17220301
AmazonRDS,Not Applicable,USE2-C3DataTransfer-In-Bytes,,09/01/19 03:00:00,09/01/19 04:00:00,3577130
AmazonRDS,CreateDBInstance:0014,USE2-InstanceUsage:db.t2.micro,,09/01/19 03:00:00,09/01/19 04:00:00,1
AmazonRDS,CreateDBInstance,USE2-RDS:GP2-Storage,,09/01/19 04:00:00,09/01/19 05:00:00,21474836480
AmazonRDS,Not Applicable,USE2-C3DataTransfer-In-Bytes,,09/01/19 04:00:00,09/01/19 05:00:00,3571293
AmazonRDS,Not Applicable,USE2-DataTransfer-Out-Bytes,,09/01/19 04:00:00,09/01/19 05:00:00,3196
AmazonRDS,CreateDBInstance:0014,USE2-InstanceUsage:db.t2.micro,,09/01/19 04:00:00,09/01/19 05:00:00,1
AmazonRDS,Not Applicable,USE2-DataTransfer-In-Bytes,,09/01/19 04:00:00,09/01/19 05:00:00,11586
AmazonRDS,Not Applicable,USE2-C3DataTransfer-Out-Bytes,,09/01/19 04:00:00,09/01/19 05:00:00,16090685
AmazonRDS,Not Applicable,USE2-EU-AWS-In-Bytes,,09/01/19 05:00:00,09/01/19 06:00:00,45
AmazonRDS,Not Applicable,USE2-DataTransfer-In-Bytes,,09/01/19 05:00:00,09/01/19 06:00:00,12612
